Hora,MTCNN,haarcascade_frontalface_alt2.xml,HS.xml,haarcascade_fullbody.xml,haarcascade_profileface.xml,haarcascade_upperbody.xml,haarcascade_frontalcatface_extended.xml,
20,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,
