Hora,MTCNN,haarcascade_frontalface_alt2.xml,haarcascade_profileface.xml,HS.xml,haarcascade_fullbody.xml,haarcascade_upperbody.xml,haarcascade_frontalcatface_extended.xml,
13,7,5,5,4,1,1,0,
13,4,2,3,6,0,5,0,
